_time,T1--Temp_01_Lid,T1--Temp_02_SideWall,T1--Temp_03_Handle,T1--Temp_04_InnerWall,T1--Temp_05_Ambient_Temp
2026-03-17T08:44:27.743Z,31.565,33.204,35.812,31.399,31.17
2026-03-17T08:44:28.316Z,31.549,33.233,36.274,31.396,31.178
2026-03-17T08:44:28.869Z,31.549,33.233,36.274,31.396,31.178
2026-03-17T08:44:29.38Z,31.549,33.233,36.274,31.396,31.178
2026-03-17T08:44:29.893Z,31.549,33.233,36.274,31.396,31.178
2026-03-17T08:44:30.401Z,31.573,33.302,36.906,31.394,31.18
2026-03-17T08:44:30.917Z,31.573,33.302,36.906,31.394,31.18
2026-03-17T08:44:31.432Z,31.573,33.302,36.906,31.394,31.18
2026-03-17T08:44:31.939Z,31.573,33.302,36.906,31.394,31.18
2026-03-17T08:44:32.455Z,31.573,33.331,35.853,31.415,31.151
2026-03-17T08:44:32.966Z,31.573,33.331,35.853,31.415,31.151
2026-03-17T08:44:33.548Z,31.573,33.331,35.853,31.415,31.151
2026-03-17T08:44:34.094Z,31.573,33.331,35.853,31.415,31.151
2026-03-17T08:44:34.603Z,31.559,33.376,35.903,31.404,31.175
2026-03-17T08:44:35.114Z,31.559,33.376,35.903,31.404,31.175
2026-03-17T08:44:35.626Z,31.559,33.376,35.903,31.404,31.175
2026-03-17T08:44:36.137Z,31.559,33.376,35.903,31.404,31.175
2026-03-17T08:44:36.649Z,31.578,33.434,36.274,31.428,31.194
2026-03-17T08:44:37.161Z,31.578,33.434,36.274,31.428,31.194
2026-03-17T08:44:37.678Z,31.578,33.434,36.274,31.428,31.194
2026-03-17T08:44:38.183Z,31.578,33.434,36.274,31.428,31.194
2026-03-17T08:44:38.696Z,31.573,33.495,36.658,31.436,31.172
2026-03-17T08:44:39.21Z,31.573,33.495,36.658,31.436,31.172
2026-03-17T08:44:39.725Z,31.573,33.495,36.658,31.436,31.172
2026-03-17T08:44:40.305Z,31.573,33.495,36.658,31.436,31.172
2026-03-17T08:44:40.853Z,31.565,33.54,36.754,31.433,31.154
2026-03-17T08:44:41.363Z,31.565,33.54,36.754,31.433,31.154
2026-03-17T08:44:41.948Z,31.565,33.54,36.754,31.433,31.154
2026-03-17T08:44:42.518Z,31.565,33.54,36.754,31.433,31.154
2026-03-17T08:44:43.099Z,31.559,33.582,36.616,31.457,31.135
2026-03-17T08:44:43.669Z,31.559,33.582,36.616,31.457,31.135
2026-03-17T08:44:44.238Z,31.559,33.582,36.616,31.457,31.135
2026-03-17T08:44:44.742Z,31.573,33.64,36.822,31.444,31.149
2026-03-17T08:44:45.254Z,31.573,33.64,36.822,31.444,31.149
2026-03-17T08:44:45.764Z,31.573,33.64,36.822,31.444,31.149
2026-03-17T08:44:46.351Z,31.573,33.64,36.822,31.444,31.149
2026-03-17T08:44:46.891Z,31.562,33.693,36.543,31.449,31.146
2026-03-17T08:44:47.402Z,31.562,33.693,36.543,31.449,31.146
2026-03-17T08:44:47.985Z,31.562,33.693,36.543,31.449,31.146
2026-03-17T08:44:48.559Z,31.562,33.693,36.543,31.449,31.146
2026-03-17T08:44:49.142Z,31.573,33.741,36.676,31.46,31.183
2026-03-17T08:44:49.713Z,31.573,33.741,36.676,31.46,31.183
2026-03-17T08:44:50.271Z,31.573,33.741,36.676,31.46,31.183
2026-03-17T08:44:50.784Z,31.559,33.78,36.981,31.468,31.186
2026-03-17T08:44:51.292Z,31.559,33.78,36.981,31.468,31.186
2026-03-17T08:44:51.806Z,31.559,33.78,36.981,31.468,31.186
2026-03-17T08:44:52.317Z,31.559,33.78,36.981,31.468,31.186
2026-03-17T08:44:52.827Z,31.573,33.838,37.01,31.481,31.172
2026-03-17T08:44:53.339Z,31.573,33.838,37.01,31.481,31.172
2026-03-17T08:44:53.926Z,31.573,33.838,37.01,31.481,31.172
2026-03-17T08:44:54.474Z,31.573,33.838,37.01,31.481,31.172
2026-03-17T08:44:54.981Z,31.565,33.881,37.895,31.473,31.167
2026-03-17T08:44:55.569Z,31.565,33.881,37.895,31.473,31.167
2026-03-17T08:44:56.122Z,31.565,33.881,37.895,31.473,31.167
2026-03-17T08:44:56.721Z,31.565,33.881,37.895,31.473,31.167
2026-03-17T08:44:57.304Z,31.557,33.944,37.284,31.481,31.154
2026-03-17T08:44:57.847Z,31.557,33.944,37.284,31.481,31.154
2026-03-17T08:44:58.36Z,31.557,33.944,37.284,31.481,31.154
2026-03-17T08:44:58.873Z,31.557,33.944,37.284,31.481,31.154
2026-03-17T08:44:59.384Z,31.578,33.992,37.611,31.515,31.196
2026-03-17T08:44:59.894Z,31.578,33.992,37.611,31.515,31.196
2026-03-17T08:45:00.409Z,31.578,33.992,37.611,31.515,31.196
2026-03-17T08:45:00.918Z,31.578,33.992,37.611,31.515,31.196
2026-03-17T08:45:01.43Z,31.575,34.034,37.371,31.502,31.191
2026-03-17T08:45:01.943Z,31.575,34.034,37.371,31.502,31.191
2026-03-17T08:45:02.455Z,31.575,34.034,37.371,31.502,31.191
2026-03-17T08:45:02.968Z,31.575,34.034,37.371,31.502,31.191
2026-03-17T08:45:03.481Z,31.578,34.095,37.621,31.518,31.191
2026-03-17T08:45:03.995Z,31.578,34.095,37.621,31.518,31.191
2026-03-17T08:45:04.576Z,31.578,34.095,37.621,31.518,31.191
2026-03-17T08:45:05.142Z,31.557,34.132,37.324,31.518,31.22
2026-03-17T08:45:05.731Z,31.557,34.132,37.324,31.518,31.22
2026-03-17T08:45:06.244Z,31.557,34.132,37.324,31.518,31.22
2026-03-17T08:45:06.758Z,31.557,34.132,37.324,31.518,31.22
2026-03-17T08:45:07.285Z,31.565,34.195,37.506,31.52,31.202
2026-03-17T08:45:07.793Z,31.565,34.195,37.506,31.52,31.202
2026-03-17T08:45:08.315Z,31.565,34.195,37.506,31.52,31.202
2026-03-17T08:45:08.834Z,31.565,34.195,37.506,31.52,31.202
2026-03-17T08:45:09.432Z,31.573,34.243,37.948,31.531,31.165
2026-03-17T08:45:09.931Z,31.573,34.243,37.948,31.531,31.165
2026-03-17T08:45:10.444Z,31.573,34.243,37.948,31.531,31.165
2026-03-17T08:45:10.954Z,31.573,34.243,37.948,31.531,31.165
2026-03-17T08:45:11.469Z,31.562,34.269,37.992,31.544,31.175
2026-03-17T08:45:11.978Z,31.562,34.269,37.992,31.544,31.175
2026-03-17T08:45:12.559Z,31.562,34.269,37.992,31.544,31.175
2026-03-17T08:45:13.135Z,31.562,34.269,37.992,31.544,31.175
2026-03-17T08:45:13.72Z,31.573,34.332,37.953,31.536,31.175
2026-03-17T08:45:14.232Z,31.573,34.332,37.953,31.536,31.175
2026-03-17T08:45:14.742Z,31.573,34.332,37.953,31.536,31.175
2026-03-17T08:45:15.256Z,31.575,34.383,38.295,31.547,31.157
2026-03-17T08:45:15.768Z,31.575,34.383,38.295,31.547,31.157
2026-03-17T08:45:16.281Z,31.575,34.383,38.295,31.547,31.157
2026-03-17T08:45:16.787Z,31.575,34.383,38.295,31.547,31.157
2026-03-17T08:45:17.325Z,31.554,34.449,38.279,31.55,31.172
2026-03-17T08:45:17.842Z,31.554,34.449,38.279,31.55,31.172
2026-03-17T08:45:18.35Z,31.554,34.449,38.279,31.55,31.172
2026-03-17T08:45:18.859Z,31.554,34.449,38.279,31.55,31.172
2026-03-17T08:45:19.382Z,31.573,34.507,38.245,31.563,31.141
2026-03-17T08:45:19.884Z,31.573,34.507,38.245,31.563,31.141
2026-03-17T08:45:20.48Z,31.573,34.507,38.245,31.563,31.141
2026-03-17T08:45:20.991Z,31.573,34.507,38.245,31.563,31.141
2026-03-17T08:45:21.502Z,31.567,34.557,38.068,31.576,31.128
2026-03-17T08:45:22.014Z,31.567,34.557,38.068,31.576,31.128
2026-03-17T08:45:22.526Z,31.567,34.557,38.068,31.576,31.128
2026-03-17T08:45:23.042Z,31.567,34.557,38.068,31.576,31.128
2026-03-17T08:45:23.551Z,31.57,34.61,38.723,31.594,31.128
2026-03-17T08:45:24.064Z,31.57,34.61,38.723,31.594,31.128
2026-03-17T08:45:24.646Z,31.57,34.61,38.723,31.594,31.128
2026-03-17T08:45:25.213Z,31.57,34.61,38.723,31.594,31.128
2026-03-17T08:45:25.804Z,31.588,34.678,38.535,31.584,31.13
2026-03-17T08:45:26.315Z,31.588,34.678,38.535,31.584,31.13
2026-03-17T08:45:26.826Z,31.588,34.678,38.535,31.584,31.13
2026-03-17T08:45:27.339Z,31.588,34.678,38.535,31.584,31.13
2026-03-17T08:45:27.853Z,31.588,34.718,38.198,31.6,31.135
2026-03-17T08:45:28.438Z,31.588,34.718,38.198,31.6,31.135
2026-03-17T08:45:28.97Z,31.588,34.718,38.198,31.6,31.135
2026-03-17T08:45:29.498Z,31.573,34.774,38.475,31.605,31.128
2026-03-17T08:45:30.014Z,31.573,34.774,38.475,31.605,31.128
2026-03-17T08:45:30.587Z,31.573,34.774,38.475,31.605,31.128
2026-03-17T08:45:31.131Z,31.573,34.774,38.475,31.605,31.128
2026-03-17T08:45:31.643Z,31.588,34.85,38.587,31.624,31.125
